UPRN,Site Name,Address,Easting,Northing,Ward,Holding Type,Tenure,Operational Status,GIA,Lease Information,Site Function,Sub Function,Function Detail,waterfront_properties,floor_space,built,price
8623019,Site B,"938 Mill Rd, Bolton",356648.7121,329408.8034,Ward 4,Leasehold,Short-term,Operational,304.2609806,Lease 2,Industrial,Function 3,Detail 3,1,71.92297071,1935,248056.6848
6767829,Site A,"491 Church St, Bolton",348606.9397,399075.985,Ward 2,Leasehold,Short-term,Non-Operational,249.9109169,Lease 1,Commercial,Function 1,Detail 3,0,129.898587,1979,323637.6103
1009614,Site A,"549 Main St, Stockport",385468.6877,384104.3517,Ward 5,Leasehold,Short-term,Non-Operational,364.468838,Lease 2,Industrial,Function 2,Detail 3,0,111.9420366,1951,437590.978
9454723,Site B,"705 Mill Rd, Manchester",318714.8973,370612.2704,Ward 4,Leasehold,Long-term,Non-Operational,324.5463161,Lease 1,Commercial,Function 2,Detail 3,0,103.8401558,2001,292266.1454
8561477,Site E,"551 Main St, Salford",334871.3139,302602.4191,Ward 3,Freehold,Long-term,Non-Operational,279.1576033,Lease 3,Residential,Function 2,Detail 3,0,118.4504206,1982,332918.4815
3472558,Site E,"554 Mill Rd, Bolton",315047.1461,326507.3534,Ward 1,Leasehold,Long-term,Non-Operational,315.1542445,Lease 1,Residential,Function 2,Detail 1,0,111.9890102,1989,304420.7411
3438302,Site E,"306 Main St, Stockport",345173.2499,356966.8501,Ward 5,Freehold,Short-term,Operational,233.0569047,Lease 1,Industrial,Function 1,Detail 1,1,83.51856424,1974,327203.9443
9664606,Site E,"107 Mill Rd, Manchester",388140.5813,371028.0908,Ward 1,Leasehold,Short-term,Non-Operational,280.5971749,Lease 3,Residential,Function 2,Detail 2,1,80.21721948,1912,280172.8104
1985176,Site C,"386 High St, Bury",367033.3478,366837.506,Ward 4,Leasehold,Short-term,Non-Operational,252.0187093,Lease 3,Commercial,Function 1,Detail 3,0,91.15427632,1988,284123.3042
4069259,Site A,"372 Mill Rd, Stockport",374429.8783,318546.1784,Ward 5,Freehold,Short-term,Operational,499.1160383,Lease 3,Industrial,Function 3,Detail 2,1,99.24375634,1960,239120.8274
7513145,Site E,"19 High St, Salford",309333.6878,346628.6301,Ward 3,Leasehold,Short-term,Operational,75.05795688,Lease 2,Industrial,Function 1,Detail 2,1,133.1146028,1999,416271.8876
3710657,Site E,"116 Main St, Manchester",345202.5935,319850.6476,Ward 3,Freehold,Short-term,Non-Operational,346.3143988,Lease 1,Commercial,Function 2,Detail 2,1,94.47584939,2020,187840.2213
4031246,Site D,"622 Church St, Stockport",383867.0356,392357.0067,Ward 3,Freehold,Short-term,Non-Operational,159.043405,Lease 2,Industrial,Function 2,Detail 2,1,130.0394108,1918,245619.4709
1044391,Site D,"486 High St, Salford",383747.9609,355741.5643,Ward 2,Leasehold,Long-term,Non-Operational,217.7660952,Lease 3,Commercial,Function 2,Detail 2,0,74.51204237,1982,332449.577
7196282,Site A,"830 High St, Manchester",398802.0194,339025.9271,Ward 3,Freehold,Short-term,Operational,135.3501584,Lease 1,Residential,Function 2,Detail 3,0,103.8760714,1964,271124.8958
5799583,Site B,"661 Main St, Stockport",352604.0829,391801.8692,Ward 2,Leasehold,Short-term,Operational,388.4260526,Lease 2,Industrial,Function 1,Detail 3,1,67.8382431,1960,454864.163
4069386,Site E,"168 Church St, Stockport",300207.1429,390396.1043,Ward 5,Leasehold,Short-term,Operational,179.2633491,Lease 2,Residential,Function 2,Detail 1,1,49.29955542,2011,284076.9616
5680213,Site C,"199 Main St, Salford",389906.0496,350410.0517,Ward 5,Freehold,Short-term,Operational,344.387651,Lease 1,Residential,Function 2,Detail 2,0,138.9359135,2009,347650.3633
1892284,Site D,"745 Church St, Salford",395619.6715,368677.7895,Ward 4,Freehold,Long-term,Operational,305.8140489,Lease 2,Residential,Function 1,Detail 3,0,116.3808122,1972,319113.758
1496566,Site E,"17 High St, Bury",392774.6204,331884.4872,Ward 4,Freehold,Long-term,Non-Operational,242.8564205,Lease 3,Commercial,Function 2,Detail 3,1,106.9243811,1992,301798.5362
8545116,Site B,"21 Mill Rd, Bolton",377191.1257,330766.3364,Ward 1,Freehold,Long-term,Operational,203.4026089,Lease 1,Commercial,Function 1,Detail 2,0,135.8338477,1997,196761.1354
7090644,Site C,"640 High St, Bury",321191.4951,354956.2187,Ward 5,Leasehold,Long-term,Operational,364.7807844,Lease 1,Commercial,Function 1,Detail 3,1,122.870636,2018,316253.6455
6521665,Site D,"273 Main St, Bolton",313905.7075,384664.4673,Ward 1,Leasehold,Short-term,Non-Operational,291.8372723,Lease 1,Industrial,Function 2,Detail 1,1,130.6192986,2013,299812.655
7596482,Site B,"929 Church St, Bury",370088.6003,359715.9914,Ward 4,Leasehold,Short-term,Non-Operational,71.18825941,Lease 2,Residential,Function 1,Detail 1,1,112.5185415,1924,442169.7905
6569176,Site B,"431 Mill Rd, Salford",314042.3009,345903.8998,Ward 1,Leasehold,Short-term,Operational,382.6079834,Lease 2,Commercial,Function 3,Detail 2,0,126.3083871,1962,356148.4948
5759372,Site C,"666 Main St, Salford",395331.5665,366414.1492,Ward 4,Freehold,Long-term,Operational,390.5321091,Lease 3,Commercial,Function 3,Detail 3,1,81.91722335,1950,113729.357
8892190,Site C,"327 Broadway, Salford",344582.7771,381229.2839,Ward 2,Freehold,Short-term,Non-Operational,238.3520558,Lease 1,Commercial,Function 1,Detail 3,0,81.27880263,1991,304776.8543
4758734,Site D,"870 Main St, Salford",303081.506,378734.247,Ward 4,Leasehold,Short-term,Operational,58.81199996,Lease 2,Residential,Function 2,Detail 2,0,109.4543998,1992,316884.9109
4836869,Site C,"758 Church St, Bury",315059.3601,337059.6263,Ward 5,Leasehold,Short-term,Non-Operational,135.9061749,Lease 2,Residential,Function 1,Detail 3,0,127.0307094,2015,430485.7991
4593320,Site E,"805 Mill Rd, Stockport",329048.1179,393565.9213,Ward 5,Leasehold,Short-term,Operational,308.3423147,Lease 1,Commercial,Function 1,Detail 3,0,98.94972633,1950,224280.5283
9802825,Site C,"541 High St, Manchester",370375.4702,301575.8649,Ward 2,Freehold,Long-term,Non-Operational,390.3243811,Lease 2,Commercial,Function 2,Detail 2,1,134.3890971,2007,225370.0468
6584625,Site B,"336 High St, Manchester",373729.2325,345078.906,Ward 2,Leasehold,Short-term,Non-Operational,88.30238146,Lease 1,Residential,Function 1,Detail 3,1,33.51844806,2007,316240.4307
1226280,Site C,"121 Main St, Manchester",321302.5203,390752.537,Ward 4,Freehold,Short-term,Non-Operational,352.7980785,Lease 1,Commercial,Function 1,Detail 3,0,118.0663505,1955,277698.4796
3055281,Site D,"184 Church St, Manchester",364855.5532,369600.61,Ward 5,Leasehold,Long-term,Non-Operational,275.57924,Lease 3,Residential,Function 1,Detail 1,0,127.6883028,1952,297542.0839
9477764,Site E,"770 Main St, Bury",303182.7368,370399.1675,Ward 4,Freehold,Short-term,Operational,155.5482577,Lease 1,Residential,Function 2,Detail 1,0,101.4245158,1989,417266.1851
7086866,Site C,"330 Broadway, Salford",310285.2925,315647.0457,Ward 4,Leasehold,Long-term,Non-Operational,268.7190414,Lease 3,Residential,Function 2,Detail 3,0,109.6690892,1939,314675.8196
7011155,Site E,"280 Church St, Bury",353501.0675,358205.5662,Ward 2,Freehold,Short-term,Operational,78.61993568,Lease 2,Industrial,Function 2,Detail 3,0,83.87406477,1917,229958.1167
1069600,Site C,"907 Main St, Bury",370382.364,396694.8973,Ward 4,Freehold,Short-term,Non-Operational,346.6255395,Lease 1,Industrial,Function 3,Detail 3,0,80.28523642,1968,263995.9512
1496746,Site E,"16 Mill Rd, Stockport",391436.7257,321154.7845,Ward 4,Leasehold,Short-term,Non-Operational,106.5855521,Lease 2,Commercial,Function 1,Detail 2,0,126.7585639,2016,183324.1452
7866852,Site C,"6 Main St, Salford",343775.2476,332718.0986,Ward 2,Freehold,Short-term,Operational,60.36879341,Lease 1,Residential,Function 1,Detail 3,0,90.02581692,1919,175853.3358
4418590,Site C,"427 Main St, Manchester",311995.3061,338862.229,Ward 2,Leasehold,Long-term,Operational,61.97968564,Lease 2,Industrial,Function 2,Detail 1,1,150.0861345,1904,214443.7918
9832678,Site A,"546 High St, Bury",392897.6631,335988.7807,Ward 3,Freehold,Short-term,Non-Operational,369.995453,Lease 3,Residential,Function 1,Detail 3,1,83.55460749,2019,242773.1612
4389644,Site B,"762 High St, Bolton",343743.7685,362704.9691,Ward 4,Freehold,Short-term,Operational,159.7652126,Lease 2,Industrial,Function 2,Detail 3,0,65.48066976,1943,448581.7207
5547045,Site D,"238 Broadway, Bolton",349747.3101,323457.3543,Ward 3,Leasehold,Short-term,Non-Operational,288.6282568,Lease 3,Commercial,Function 2,Detail 3,0,80.66797418,1947,252409.8315
7744172,Site D,"215 Broadway, Bolton",385442.9504,350568.9537,Ward 2,Freehold,Short-term,Operational,70.64663023,Lease 1,Residential,Function 3,Detail 3,0,90.26778645,1980,334690.4445
8719365,Site A,"77 Broadway, Manchester",358577.9694,340023.9125,Ward 5,Leasehold,Short-term,Non-Operational,70.06195435,Lease 1,Industrial,Function 1,Detail 1,0,77.77301457,1999,335824.6887
6844206,Site C,"814 Mill Rd, Manchester",330145.0255,364448.0569,Ward 3,Freehold,Short-term,Operational,431.7090557,Lease 1,Commercial,Function 1,Detail 1,1,101.2279001,1992,301947.0013
5891690,Site B,"761 Mill Rd, Stockport",354078.0438,324194.0903,Ward 1,Leasehold,Long-term,Non-Operational,368.3629712,Lease 2,Industrial,Function 1,Detail 3,0,87.7099362,1962,266489.7621
6355304,Site E,"485 Mill Rd, Manchester",362486.1098,355312.4752,Ward 1,Freehold,Long-term,Non-Operational,99.70714676,Lease 1,Industrial,Function 3,Detail 1,1,127.0417997,1978,311865.1391
5439757,Site A,"597 High St, Bolton",388979.989,374036.6179,Ward 3,Freehold,Long-term,Operational,296.5593449,Lease 2,Commercial,Function 1,Detail 2,1,92.59942223,1915,267670.5446
9922903,Site D,"463 Broadway, Salford",323483.4471,369295.4991,Ward 1,Freehold,Long-term,Operational,118.794408,Lease 2,Residential,Function 3,Detail 2,1,90.03531153,1921,359617.6025
3922889,Site D,"358 Main St, Manchester",355937.9031,383427.9535,Ward 5,Freehold,Long-term,Operational,400.5667011,Lease 3,Residential,Function 1,Detail 1,1,112.6458536,2003,215576.0798
5837336,Site D,"563 Church St, Salford",392049.9039,395616.0539,Ward 4,Leasehold,Short-term,Operational,350.7310901,Lease 3,Commercial,Function 3,Detail 2,0,99.07978608,1909,324295.8966
2622213,Site C,"608 High St, Bolton",304547.2791,385396.883,Ward 5,Leasehold,Long-term,Operational,475.8674288,Lease 2,Commercial,Function 3,Detail 1,0,70.18462655,1966,373589.634
9092792,Site E,"111 Mill Rd, Bury",319456.7813,393820.5261,Ward 1,Leasehold,Long-term,Operational,303.9929346,Lease 3,Commercial,Function 2,Detail 2,1,87.34340362,1974,371382.6974
5484395,Site E,"185 Main St, Manchester",334631.4914,301750.9132,Ward 4,Freehold,Short-term,Non-Operational,226.5703215,Lease 2,Commercial,Function 1,Detail 3,0,75.59464643,2009,340078.166
4453147,Site E,"985 High St, Salford",367846.84,362893.1456,Ward 1,Leasehold,Long-term,Non-Operational,363.0663001,Lease 2,Commercial,Function 2,Detail 1,1,114.6983689,1987,291490.8086
6378915,Site C,"237 High St, Stockport",384184.7272,326772.5679,Ward 3,Leasehold,Long-term,Non-Operational,317.5338722,Lease 3,Industrial,Function 2,Detail 1,1,141.6809582,2003,493294.3777
8986976,Site D,"503 Mill Rd, Manchester",319917.0849,380899.5318,Ward 5,Leasehold,Short-term,Non-Operational,234.1395807,Lease 2,Residential,Function 1,Detail 1,1,96.52906807,2011,265948.865
8699150,Site D,"849 High St, Salford",324670.4478,381903.7981,Ward 4,Leasehold,Short-term,Operational,239.0046004,Lease 2,Commercial,Function 2,Detail 2,1,112.3376633,1933,295848.4231
3773758,Site C,"875 Main St, Bury",382328.5436,304776.8684,Ward 2,Leasehold,Long-term,Non-Operational,117.3517097,Lease 3,Residential,Function 1,Detail 3,1,97.19798539,1998,432989.1933
7677661,Site B,"88 Main St, Manchester",314834.3507,359555.5247,Ward 5,Freehold,Short-term,Operational,264.8058714,Lease 2,Residential,Function 1,Detail 3,1,99.68325901,1906,289288.6411
6115149,Site C,"458 Church St, Bury",326117.6943,385088.2118,Ward 2,Freehold,Short-term,Operational,119.4946313,Lease 2,Residential,Function 2,Detail 2,1,120.0341166,1995,160728.2555
8085635,Site C,"257 Mill Rd, Bury",373269.3586,358741.3381,Ward 3,Freehold,Long-term,Non-Operational,127.6755391,Lease 1,Residential,Function 2,Detail 2,0,81.12479723,1921,186025.0975
7758656,Site D,"387 Mill Rd, Salford",316615.8795,342554.0064,Ward 1,Leasehold,Short-term,Non-Operational,120.0815576,Lease 1,Industrial,Function 2,Detail 3,1,83.40709205,2004,378815.7729
4770882,Site E,"137 Main St, Bolton",382803.3525,307677.9914,Ward 3,Leasehold,Short-term,Non-Operational,266.3035311,Lease 2,Residential,Function 1,Detail 1,1,111.1320291,1984,233566.8668
5257713,Site D,"571 High St, Salford",349051.6598,373027.1633,Ward 2,Leasehold,Long-term,Non-Operational,269.5170906,Lease 3,Residential,Function 2,Detail 2,0,99.36712288,1900,273973.6146
7977443,Site B,"782 Church St, Stockport",344757.2076,307464.131,Ward 4,Leasehold,Short-term,Operational,78.65804418,Lease 1,Commercial,Function 3,Detail 2,0,106.2936786,1931,395093.5468
2394307,Site A,"289 Church St, Salford",313525.5202,359791.4385,Ward 3,Leasehold,Short-term,Operational,342.5731284,Lease 2,Industrial,Function 3,Detail 3,1,117.6511512,2006,330563.1977
6462186,Site A,"579 Church St, Bolton",367965.8286,391762.6906,Ward 1,Leasehold,Short-term,Non-Operational,123.3149766,Lease 2,Industrial,Function 2,Detail 2,1,81.33341789,1980,318572.9492
4217677,Site C,"326 Mill Rd, Bolton",388400.1038,341911.0344,Ward 4,Leasehold,Short-term,Operational,258.1375322,Lease 2,Residential,Function 1,Detail 2,1,80.1215497,2008,249670.7339
6576294,Site A,"735 Main St, Stockport",369210.7884,377016.5093,Ward 4,Leasehold,Short-term,Operational,323.7768903,Lease 2,Industrial,Function 2,Detail 3,0,144.4753667,1986,367357.2508
3127938,Site E,"115 Church St, Manchester",331688.4603,379981.0897,Ward 1,Leasehold,Short-term,Operational,74.61580872,Lease 2,Industrial,Function 1,Detail 3,0,109.4230597,2019,360563.2774
3220039,Site D,"865 High St, Salford",369879.8666,301034.1021,Ward 4,Freehold,Short-term,Non-Operational,300.2972066,Lease 2,Residential,Function 2,Detail 2,1,124.055746,2005,393943.3612
1607787,Site B,"888 Church St, Salford",350994.2459,391493.9956,Ward 5,Leasehold,Long-term,Non-Operational,462.6449574,Lease 1,Industrial,Function 1,Detail 1,0,141.3905472,1989,299100.4554
2072575,Site B,"259 High St, Manchester",385373.0438,318877.996,Ward 4,Freehold,Short-term,Non-Operational,110.9201771,Lease 2,Residential,Function 1,Detail 2,1,113.8768067,1930,231984.32
3947887,Site B,"932 Broadway, Manchester",345964.7099,328269.8427,Ward 2,Leasehold,Long-term,Operational,462.9414345,Lease 3,Industrial,Function 3,Detail 1,1,45.30312401,2021,277805.6436
5296728,Site D,"225 Mill Rd, Salford",323730.2652,387077.4663,Ward 5,Freehold,Short-term,Operational,417.7064523,Lease 2,Commercial,Function 2,Detail 3,1,124.6508471,2016,344832.9764
6534069,Site E,"887 Broadway, Bury",310125.6221,368659.1214,Ward 3,Freehold,Short-term,Non-Operational,291.4064024,Lease 1,Residential,Function 1,Detail 3,1,77.19017368,1990,267098.6308
2006271,Site B,"284 Church St, Stockport",328106.6762,337185.7969,Ward 4,Leasehold,Short-term,Non-Operational,106.3423382,Lease 3,Commercial,Function 3,Detail 3,1,114.1291936,2024,286044.7757
9413040,Site A,"880 Broadway, Manchester",356353.9886,308787.9605,Ward 1,Leasehold,Short-term,Non-Operational,375.5651813,Lease 1,Industrial,Function 2,Detail 3,0,81.77713508,1990,342126.3203
6167505,Site E,"374 Mill Rd, Salford",317004.2531,338623.2706,Ward 5,Leasehold,Short-term,Non-Operational,341.3632868,Lease 1,Commercial,Function 3,Detail 1,0,86.57122139,1960,370926.7912
3386041,Site E,"833 Church St, Salford",303976.1134,396633.2236,Ward 4,Freehold,Long-term,Operational,349.7592596,Lease 3,Commercial,Function 2,Detail 2,1,116.8202214,1998,426196.143
2995523,Site E,"243 Broadway, Stockport",344884.3052,310461.6046,Ward 2,Leasehold,Short-term,Operational,108.2502602,Lease 3,Industrial,Function 2,Detail 3,1,103.6630128,1932,340928.636
3480016,Site B,"227 Church St, Stockport",334743.2119,384613.1747,Ward 4,Leasehold,Short-term,Non-Operational,270.3065188,Lease 3,Industrial,Function 3,Detail 3,0,97.64042312,2000,203053.8275
3000080,Site E,"869 Church St, Bolton",342039.0625,332530.1333,Ward 4,Freehold,Short-term,Non-Operational,344.0853132,Lease 1,Residential,Function 2,Detail 3,1,69.2961452,1945,392041.8468
1961836,Site B,"962 Mill Rd, Salford",345413.3411,365456.3377,Ward 5,Freehold,Short-term,Operational,259.6262928,Lease 1,Commercial,Function 3,Detail 3,1,96.87330518,1912,336748.6597
8185922,Site A,"610 High St, Salford",376607.0471,363154.3516,Ward 2,Freehold,Short-term,Operational,315.5887328,Lease 2,Industrial,Function 1,Detail 1,1,151.2895272,1982,393021.0198
7800267,Site A,"104 Church St, Manchester",396092.6855,332558.9252,Ward 4,Freehold,Short-term,Non-Operational,303.957777,Lease 2,Residential,Function 3,Detail 1,0,121.1278284,2022,382869.6168
1901082,Site A,"307 Main St, Manchester",326228.4437,305429.3078,Ward 5,Freehold,Long-term,Non-Operational,242.0910252,Lease 1,Residential,Function 1,Detail 2,0,79.63150052,1908,469305.1329
8825269,Site A,"957 Main St, Manchester",394239.888,314881.8639,Ward 1,Freehold,Long-term,Operational,117.9916958,Lease 3,Commercial,Function 3,Detail 1,1,104.8582927,1959,353922.3446
2971733,Site E,"564 High St, Manchester",322837.562,356584.878,Ward 4,Leasehold,Long-term,Non-Operational,415.6863102,Lease 1,Industrial,Function 1,Detail 2,1,96.42261794,1942,275369.4635
3021158,Site E,"697 Mill Rd, Bolton",375494.5107,394885.7985,Ward 3,Leasehold,Long-term,Operational,338.7427744,Lease 2,Industrial,Function 3,Detail 3,1,96.14067384,1933,267014.8099
2860202,Site B,"549 Broadway, Bolton",368134.6049,392576.8087,Ward 1,Freehold,Short-term,Operational,338.5504896,Lease 2,Industrial,Function 3,Detail 3,0,71.61602144,1909,201350.426
1384611,Site A,"75 Church St, Bury",305222.2216,311347.279,Ward 4,Leasehold,Long-term,Operational,74.05526623,Lease 2,Industrial,Function 1,Detail 2,1,105.2227959,1977,294821.1722
6364658,Site C,"930 Broadway, Bury",372492.1803,387522.8894,Ward 1,Freehold,Long-term,Operational,389.410904,Lease 3,Commercial,Function 3,Detail 3,0,96.87837883,1916,435999.5369
1485237,Site A,"295 Church St, Manchester",390112.2692,323380.9464,Ward 3,Leasehold,Long-term,Operational,147.3947615,Lease 2,Commercial,Function 1,Detail 2,1,90.26396888,1995,231131.9535
2887004,Site D,"47 Broadway, Stockport",393022.2297,390987.1138,Ward 1,Leasehold,Long-term,Non-Operational,358.0449416,Lease 2,Residential,Function 2,Detail 1,0,124.1510446,1948,525160.1119
7422526,Site C,"614 Main St, Bury",368519.3404,375849.3729,Ward 4,Leasehold,Long-term,Non-Operational,357.0594675,Lease 2,Residential,Function 1,Detail 2,1,72.37564603,1962,350202.2322
1569926,Site D,"380 Church St, Bury",378658.8037,396126.3878,Ward 3,Freehold,Short-term,Non-Operational,90.8189732,Lease 2,Commercial,Function 3,Detail 1,1,108.8587811,1943,318414.1326
6585307,Site C,"885 High St, Salford",307154.185,344172.846,Ward 2,Leasehold,Short-term,Operational,289.6302045,Lease 3,Residential,Function 3,Detail 3,0,106.2224065,1970,400009.7548
5351462,Site B,"147 Church St, Bolton",316125.2646,373158.5333,Ward 5,Leasehold,Long-term,Non-Operational,369.8382443,Lease 1,Commercial,Function 2,Detail 1,0,56.87901081,1993,234547.2355
2269117,Site E,"120 Mill Rd, Bolton",326247.9662,373527.4904,Ward 5,Freehold,Long-term,Non-Operational,400.6095307,Lease 1,Industrial,Function 2,Detail 1,1,125.043515,2003,216324.9687
9910707,Site B,"162 High St, Salford",353133.8373,349617.1832,Ward 4,Leasehold,Short-term,Non-Operational,235.6601808,Lease 1,Industrial,Function 2,Detail 2,0,106.8090729,1989,379228.1647
1698638,Site C,"923 Church St, Manchester",338624.4745,397451.869,Ward 5,Leasehold,Short-term,Non-Operational,61.21824232,Lease 1,Industrial,Function 2,Detail 3,0,88.07617589,1934,328851.7692
8601581,Site A,"634 Broadway, Manchester",365713.5036,324366.2325,Ward 5,Freehold,Short-term,Operational,365.8658178,Lease 1,Commercial,Function 2,Detail 2,1,99.23462426,1950,424065.1389
7880902,Site B,"866 High St, Stockport",344568.8787,398621.4022,Ward 4,Freehold,Long-term,Non-Operational,190.8878205,Lease 2,Residential,Function 3,Detail 2,1,123.7183999,1993,391940.4325
7418404,Site C,"650 Main St, Manchester",377502.224,381211.863,Ward 4,Freehold,Short-term,Non-Operational,157.0669662,Lease 3,Industrial,Function 1,Detail 3,0,110.1013149,1974,285093.0409
8927956,Site A,"148 Main St, Bolton",371358.8082,361609.7209,Ward 1,Leasehold,Long-term,Non-Operational,408.4605401,Lease 1,Commercial,Function 3,Detail 1,1,112.6542195,1941,380130.9864
1761223,Site E,"651 High St, Bury",374728.1398,307558.6553,Ward 5,Freehold,Short-term,Non-Operational,219.8310875,Lease 1,Commercial,Function 2,Detail 3,0,105.8340878,2022,317732.01
6951674,Site C,"402 Church St, Stockport",382884.8804,325936.2823,Ward 1,Freehold,Short-term,Operational,271.2349837,Lease 3,Commercial,Function 3,Detail 3,0,99.325686,1947,321196.4946
8487507,Site D,"996 Mill Rd, Stockport",383422.2415,384128.2186,Ward 5,Freehold,Short-term,Operational,223.1618986,Lease 1,Commercial,Function 1,Detail 1,1,92.82464495,1925,364379.8928
8001425,Site D,"152 High St, Bolton",377955.2381,372815.3614,Ward 5,Leasehold,Long-term,Operational,458.5297448,Lease 2,Commercial,Function 2,Detail 3,1,99.96706604,2000,465729.3889
6152499,Site D,"468 High St, Stockport",306592.6582,396269.2526,Ward 2,Leasehold,Long-term,Non-Operational,241.0347032,Lease 3,Industrial,Function 1,Detail 2,0,77.64695928,1935,262731.6153
2785922,Site A,"677 Main St, Manchester",362320.3351,339678.7264,Ward 5,Freehold,Long-term,Operational,217.4273691,Lease 2,Commercial,Function 3,Detail 2,1,95.85665099,1904,261711.3919
2671953,Site A,"240 Church St, Bolton",301978.9432,389445.3948,Ward 4,Leasehold,Long-term,Operational,146.3695943,Lease 2,Industrial,Function 1,Detail 1,1,116.7764895,1963,343070.4506
2113946,Site B,"273 Mill Rd, Salford",374375.904,386182.6044,Ward 5,Leasehold,Long-term,Non-Operational,249.4555848,Lease 3,Residential,Function 2,Detail 2,0,94.89389179,1946,337512.8239
3013134,Site A,"259 Church St, Salford",306105.774,396613.4336,Ward 3,Leasehold,Short-term,Operational,273.410123,Lease 2,Commercial,Function 2,Detail 2,1,92.85283249,1964,305106.0784
2697173,Site C,"664 Church St, Salford",398321.4995,327245.0332,Ward 2,Leasehold,Short-term,Non-Operational,348.579124,Lease 3,Commercial,Function 3,Detail 2,0,143.9240585,2017,351327.6714
6062407,Site D,"447 High St, Bolton",361407.8209,349453.2324,Ward 1,Freehold,Long-term,Operational,378.4539147,Lease 2,Residential,Function 3,Detail 2,0,101.809479,1915,423878.9886
4453103,Site E,"204 Main St, Salford",318199.8096,308096.3391,Ward 5,Leasehold,Long-term,Non-Operational,155.9774011,Lease 2,Residential,Function 1,Detail 1,1,126.6328835,1943,367157.3159
1804993,Site D,"878 High St, Manchester",346827.951,359091.6783,Ward 5,Leasehold,Short-term,Operational,474.7432274,Lease 3,Residential,Function 1,Detail 1,1,126.0151746,1947,387388.5581
6951202,Site C,"811 Broadway, Bolton",382667.6976,373232.2347,Ward 1,Leasehold,Long-term,Non-Operational,334.3430651,Lease 3,Commercial,Function 1,Detail 1,1,96.28281889,1908,261645.9855
4047902,Site E,"21 Mill Rd, Bolton",317999.7963,323801.1674,Ward 2,Leasehold,Short-term,Operational,96.0491656,Lease 2,Industrial,Function 1,Detail 1,0,100.8609746,2003,204008.8176
5407943,Site B,"387 Main St, Stockport",353677.547,316965.2282,Ward 1,Freehold,Short-term,Non-Operational,394.1090752,Lease 2,Residential,Function 3,Detail 2,1,110.1400815,1920,402511.1801
4890110,Site A,"526 Church St, Bolton",300358.0768,363953.0683,Ward 5,Freehold,Long-term,Non-Operational,365.4430813,Lease 1,Residential,Function 2,Detail 2,1,113.5087413,1992,292321.2321
